Priority	2dda7p[c]	e4p[c]	pep[c]	pi[c]	2pg[c]	param_DDPA_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	1	2.2606977883586255e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310197
1	0	1	3.582964534981475e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508014
1	0	1	5.678616100321741e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.38686317984685703
1	0	1	9.000000000000007e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.5000000000000002
1	0	1	0.000014264038732150038	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531433
1	0	1	0.000022606977883586257	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491989
1	0	1	0.00003582964534981475	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868982
1	0	1	0.00005678616100321741	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.86319311139679
1	0	1	0.00009000000000000007	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909092
1	0	1	1	0	0	1	6.8	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/absRateFor.txt"	213.19958703170408
