ssd,Km,Km_cit,kcat,kcat_cit,Keq,Keq_cit
7.67982193227196,0.0850360009313925,0.0376247005712917,272.0978089595762,74.52959295298339,48.411019733002696,0.0009133864173665115
7.6877793669844685,0.005304664919724208,0.02029328403123483,272.193495930006,74.52304392379811,42.1058587176355,20.19243680203127
7.713000639179462,0.005745733269458532,0.010373380910785117,272.1582495079475,74.52545663680665,50.16532166904323,0.12441219406006394
7.77282819956836,86.77833726106122,0.01992534177976406,272.0625500007989,74.53158013711733,0.35171965885423806,13.702228235047768
7.79029307316554,86.97766065619392,28.34457840967239,271.92269954554456,74.54674247770386,1.1311122181913396,3.4724835479241163
7.801299940692851,0.006865929433426186,0.08239926349596059,272.15827380616304,74.52545368321833,53.4979200675666,6.459857623623844
7.803477503951201,0.003849007335643021,0.000933984403179344,272.15870161787876,74.52542590084565,0.0009104294985312934,55.9824886898555
7.81335637754168,86.96861863393745,32.97031208727718,272.18726361281335,74.5224399117093,4.376390673343003,0.09448659147951112
7.819557445695146,86.88935621966617,33.32500916806838,271.34943176974116,74.57978624096658,6.090246331724892,2.952804447891477
7.825529667252106,77.37186061550462,0.7161224047759716,266.96316042965884,74.8806637758809,19.323436642692045,20.74267603931343
7.827668427645734,80.45007085782935,6.419466681662748,270.66853883308977,74.99852464086908,25.181654332430526,11.547037369861716
7.833009087516649,0.005769990193357923,0.0115038143635996,272.15855987838773,74.52543537140755,0.2650065086172484,63.59970994118201
7.83745735988198,0.005593681564271165,0.010555742494494938,272.15872472293694,74.52542410546695,2.2760594345619944,38.93594361642771
7.907570913939067,78.96729323726355,48.360145267038945,272.4307315962641,74.5055393979821,2.4435406914890825,0.0004565424345231852
7.919719868611938,87.14117396368415,44.12516184883636,272.16631413625703,74.52367682176822,9.477858958432448,0.07027625142487715
7.924681784786571,0.01684685972061522,0.00015097134574925362,272.1580407849772,74.52547104983196,61.409812633945336,15.151038492421275
7.966772830896388,86.97484700451804,45.99110445627547,272.03592457390585,74.53256705773404,5.60902763473122,0.0180236388618527
7.9960409669820045,87.05537356687418,46.55560755232166,272.21386666921893,74.52037568857396,0.007234985365938425,0.004337579315841807
7.999618428737929,87.07091284730605,46.551167757800414,272.1894532412798,74.52204689169632,0.0022527759688856955,0.00008808902077147043
8.00287571323098,87.08179023985758,46.54805993146921,272.1780701037979,74.52282611592298,0.007089295124519059,0.00003424591088951791
8.002912190145794,87.08145314342481,46.548156245347656,272.17586190859436,74.5229772765807,0.0032754708019273756,0.004629646777671214
8.002929502761807,87.07986583156614,46.548609730124085,272.16568598171887,74.52367386181993,0.0077641260504542,0.00014760296886920808
